"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"188",2014,9,3,0,9,2,1,0,2,2,1,1,1
"189",2014,10,5,0,9,1,3,0,2,2,0,0,2
"190",2013,8,1,1,9,0,1,9,2,3,1,0,1
"191",2017,9,2,1,9,9,3,9,2,3,1,1,1
"192",2016,9,2,1,9,3,2,0,2,2,0,9,3
"193",2015,11,3,0,9,9,1,0,2,9,0,0,2
"194",2017,10,1,1,9,2,1,0,2,2,0,0,4
"195",2014,3,2,0,1,1,1,0,1,3,0,0,1
"196",2016,8,1,1,9,9,3,9,2,4,0,9,1
"197",2017,8,2,0,0,1,2,0,2,1,0,0,4
"198",2014,8,2,1,9,9,2,0,2,2,0,9,2
"199",2017,9,3,0,1,2,2,0,2,1,1,0,4
"200",2016,8,3,0,1,1,3,0,2,2,0,0,15
"201",2014,13,1,1,0,1,3,0,2,1,0,1,1
"202",2014,3,2,0,1,9,2,0,1,9,1,9,1
"203",2014,7,1,1,9,4,1,0,2,1,0,0,5
"204",2015,10,9,0,9,9,3,0,2,1,1,9,1
"205",2017,5,6,0,9,9,3,0,3,3,0,0,1
"206",2013,11,1,1,9,4,3,0,2,2,1,0,11
"207",2016,12,1,0,1,0,3,0,2,1,1,0,6
"208",2016,7,5,0,1,0,3,0,3,3,1,1,1
"209",2013,10,9,0,1,0,2,0,2,9,1,0,1
"210",2013,10,5,0,1,3,2,0,2,9,0,0,3
"211",2015,11,1,0,2,4,2,0,2,2,1,0,7
"212",2015,7,1,1,9,3,2,9,2,2,1,1,1
"213",2014,8,1,1,9,0,1,1,2,4,0,0,1
"214",2015,5,1,1,9,9,3,0,3,9,1,0,2
"215",2016,4,4,0,9,4,2,0,1,1,0,0,1
"216",2013,7,1,1,1,4,3,0,1,1,0,0,5
"217",2017,5,1,1,9,1,1,0,9,4,0,0,1
"218",2017,8,2,9,9,4,1,9,2,9,0,9,1
"219",2016,7,1,0,9,9,1,0,9,4,1,1,1
"220",2017,8,3,1,1,3,2,0,2,1,0,0,3
"221",2017,6,1,0,1,4,3,9,2,2,0,0,1
"222",2013,10,1,9,9,9,3,9,2,1,9,9,11
"223",2014,6,9,0,1,0,2,0,2,9,0,0,1
"224",2015,5,9,1,9,3,2,0,2,9,0,0,1
"225",2016,5,1,0,9,9,2,0,9,1,1,9,2
"226",2017,12,1,0,2,3,3,0,2,9,1,1,1
"227",2015,12,1,0,9,4,1,0,2,4,0,0,2
